Id,Category
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,1
541,1
542,0
543,0
544,0
545,0
546,1
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,1
555,0
556,1
557,0
558,1
559,0
560,0
561,0
562,0
563,1
564,1
565,1
566,1
567,0
568,0
569,1
570,0
571,0
572,0
573,1
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,1
589,1
590,1
591,1
592,0
593,0
594,1
595,0
596,1
597,1
598,0
599,0
600,1
601,1
602,1
603,0
604,1
605,0
606,0
607,0
608,0
609,0
610,0
611,1
612,0
613,1
614,0
615,1
616,0
617,1
618,1
619,0
620,0
621,1
622,1
623,1
624,0
625,1
626,1
627,0
628,0
629,0
630,0
631,1
632,1
633,0
634,1
635,1
636,0
637,1
638,0
639,0
640,0
641,1
642,0
643,0
644,0
645,1
646,1
647,0
648,1
649,0
650,1
651,0
652,1
653,1
654,1
655,0
656,0
657,1
658,0
659,0
660,1
661,0
662,1
663,1
664,0
665,1
666,0
667,0
668,0
669,0
670,0
671,0
672,1
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,1
682,0
683,1
684,0
685,0
686,0
687,1
688,0
689,0
690,0
691,1
692,1
693,1
694,0
695,1
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,1
708,0
709,1
710,0
711,0
712,0
713,0
714,0
715,0
716,1
717,1
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,1
726,0
727,0
728,1
729,0
730,1
731,0
732,1
733,0
734,1
735,1
736,0
737,1
738,1
739,0
740,1
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,1
749,0
750,0
751,0
752,1
753,0
754,0
755,0
756,0
757,1
758,0
759,0
760,0
761,1
762,0
763,1
764,1
765,0
766,1
767,1
768,0
769,0
770,1
771,0
772,1
773,0
774,0
775,1
776,0
777,1
778,0
779,1
780,0
781,1
782,1
783,1
784,0
785,0
786,0
787,0
788,1
789,1
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,1
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,1
810,1
811,0
812,0
813,0
814,0
815,0
816,0
817,1
818,1
819,0
820,0
821,0
822,0
823,1
824,0
825,0
826,0
827,0
828,0
829,1
830,1
831,0
832,0
833,0
834,1
835,1
836,0
837,1
838,0
839,0
840,0
841,1
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,1
851,0
852,0
853,0
854,1
855,1
856,0
857,0
858,0
859,0
860,0
861,1
862,0
863,1
864,0
865,0
866,0
867,0
868,0
869,1
870,1
871,1
872,1
873,1
874,0
875,0
876,1
877,0
878,1
879,0
880,1
881,0
882,1
883,0
884,1
885,0
886,0
887,1
888,0
889,1
890,0
891,0
892,0
893,1
894,1
895,0
896,0
897,0
898,0
899,1
900,0
901,0
902,1
903,1
904,0
905,1
906,1
907,0
908,1
909,0
910,0
911,0
912,1
913,1
914,0
915,0
916,1
917,0
918,0
919,0
920,1
921,0
922,0
923,1
924,0
925,1
926,1
927,0
928,1
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,1
939,0
940,0
941,0
942,1
943,0
944,0
945,0
946,0
947,0
948,1
949,1
950,1
951,0
952,0
953,0
954,0
955,0
956,1
957,1
958,1
959,0
960,0
961,1
962,0
963,0
964,1
965,1
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,1
975,1
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,1
986,0
987,0
988,0
989,0
990,0
991,1
992,1
993,0
994,0
995,0
996,0
997,0
998,0
999,0
